Notes,Keywords/Phrases,Category
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is d side i cannot complete this task because further work is required by the dig and aux control team for a maintenance dig an cr has been submitted the cr reference is na please see additional information line is proven from nte through carrier pole to clip joint at eq and is tagged new lead in to replace drop wire and nte fitted line test ok and tagged in jb at base of pole new pair from jb to clip joint required cr input for dig to enable this as current feed looks to have a joint under the jb ,further work is required by the dig and aux control team have run out of time within my scheduled hours the end customer can use the service the work outstanding is d side ,copper pending field work needed
ends associated cr with this job please follow this link to access cr details https companyname planning intranet com asdf controller swaction cr reference https i cannot complete this task because traffic management is required installation incomplete and appointment required an cr has been submitted the cr reference is please see additional information cr submitted for tm platform will also be needed on the day cr done by senior engineer dave webb ,traffic management is required,copper pending field work needed
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information routing for this circuit is z stcb e d dp pr spoke to routing records who confirm this is the current routing for this circuit ports required in stcb please ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information the wrong address is down for this task it should be flat a henry bird way this is off a different stcb to the quoted address the correct stcb now is stcb all routing has been updated on routing record and now need a lift and shift to the correct stcb tried to resolve on the day with dcoe but would not do it as they said they can only lift and shift to new cab for repair task spoke to cod who told me i would have to send it back as sales query ,routing provided is incorrect,copper pending routing issue
 sync and dial tone proven through d slam and jumpered as per quoted cabinet free of defects and bottom of cab cleaned stephen uveges tfgh mfl ln start faulting at stcb battery contact end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information line not coming to cab will require to be buzzed from customer no access at time of visit access required to confirm routing looked at records cab served by lk onwards customer routed to lk ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information arrived on site no cpi tone in stcb and no dt on quoted e side went to eu premises stcb is right next to eu confirmed linegoing through stcb on e side and d side routing solutions told me this routing is incorrect and can t update it called dcoe and spoke to advisor with uin xxxxxxxxx who told me lift and shift to different stcb cannot be done on provision task and to pass to cp to resolve routing has been updated on myjobs fibre ports required in stcb to complete task ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information the ducting from the ug feed at the house goes down the drive but to no where in our network no e sides in the stcb ,routing provided is incorrect,copper pending routing issue
circuit test results after tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information fibre routing is still coming through wrong stcb despite routing being updated to show that line runs through stcb instead of stcb unable to lift and shift the fibre between cabinets as they are on different test heads fibre routing needs to be reprovided in stcb ,routing provided is incorrect,copper pending routing issue
 ring ahead information primary eu contact name xxxxxxxxxxxxxxxxxxx primary contact no xxxxxxxxxxxxxxx what was the outcome of the call not able to ring ahead due to unusable contact details missing incorrect faulty line call date time secondary contact details what was the outcome of the call to secondary contact no not able to ring ahead due to unusable contact details missing incorrect faulty line ring ahead information ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information job built off wrong stcb dslam found correct routing and spoke to routing and records to get this updated furthering job back to be rebuilt using correct routing dslam , the routing provided is incorrect ,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information this cct appears to be eo feed the cct is jumpered correctly on the mdf but does not appear in the stcb the fibre port syncs ok ,routing provided is incorrect,copper pending routing issue
ends text ahead complete fasttest ltok fibre jumpers provided sync and dial tone confirmed min vdsl passed and fasttest ltok showing ports been in sync today on tfgh but router not plugged in circuit id tfgh job f o line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found out of sync last in sync on tfgh mfl ok tfgh uprate not known tfgh downrate not known ,routing provided is incorrect gea service test completed and no fault found,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information the fibre ports quoted do not exist in stcb only goes to and no spare ports available do not exist lumms case ref af ie spoke to dcoe uin xxxxxxxx i am told this should be done by october nd ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information visited site line was testing one leg dis at stcb checked line at cab line was good on the e side but has battery contact on the d side i located fibre ports speeds were below what they should be and kept dropping out of sync got lift and shift done with dcoe run min vdsl close out test passed there is still a battery contact on the d side the job has been incorrectly routed the line gos through to cabinet not stcb thenfibre needs to be moved into cabinet and an e side divert will be required as dial tone is still in cabinet job needs to be re routed correctly through cab i am unable to resolve on the day after speaking to routing soulutions ,routing provided is incorrect,copper pending routing issue
 gareth bowe ran first test tfgh mfl ok ltok all sockets unplugged end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end up speed na down speed na ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 notes gt si fibre routing not present in cab af ie ,fibre routing not present in cab,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information i cannot complete this task as this job has been built to the wrong stcb original routing was for stcb but it should be stcb all routing has been updated via dcoe wc sales ,routing provided is incorrect,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 connected fibre in cab no dside due to no access ogecr mfl ce start faulting at end customer dp dis in network end ogecr mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes n tfgh mfl ok ltok all sockets unplugged end n tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information this is the second time this has been sent out with wrong routing on it this job needs to be ceased then re provided to pull the correct routing in the correct routing is off stcb e d dp pr bar pair ao routing solutions confirmed the routing they have for the copper is now correct but the job has still picked up the old routing from stcb please cease and reprovide this task ,routing provided is incorrect,copper pending routing issue
 all routing as per quote tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information the bar pair e side quoted on this job has a working sky circuit connected ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information quoted fibre ports in wrong stcb routing updated to correct cabinet with routing and records confirmed fibre ports with dcoe cease and reprovide required to stcb message left with eu as no contact on numbers ,routing provided is incorrect,copper pending routing issue
 e and d side idetified on copper and fiber in stcb checked e side on fiber good sinc run new jumper for fiber connection and ran line test all ok line test tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information another engineer had the install for this task confirmed to me that all routi is wrong plus cannot complete provide due to d pole ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information fast test said ltok all sockets unplugged went to cab and couldn t find routing with cpi tone job notes indicated this is not the first time this has happened called manager and discussed and believe this is a eo line not going through the cab so needs investigating and then routing through the cab advised to send back incorrect routing so pair can be diverted into cab ,routing provided is incorrect,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensur ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information no cpi tone in cab possible eo single skilled engineer ,routing provided is incorrect,copper pending routing issue
 jummpered through as per task tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information stcb routing incorrect doesn t go through stcb unable to find correct stcb address is roughly miles from stcb ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information please read previous notes this is a eo line ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information advised by dcoeadvisor sampada that job cp needs to cancel and reissue order copper is at stcb but fibre at stcb ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,the routing provided is incorrect gea service test completed and no fault found,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re tes ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 copper e side dis in exchange tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information arrived on site no cpi tone in stcb and no dt on quoted e side went to eu premises stcb is right next to eu confirmed linegoing through stcb on e side and d side routing solutions told me this routing is incorrect and can t update it called dcoe and spoke to advisor with uin xxxxxx who told me lift and shift to different stcb cannot be done on provision task and to pass to cp to resolve routing has been updated on myjobs fibre ports required in stcb to complete task ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information incorrect routing on the job cpi tone was bleeding through to stcb visited exchange to find the bar pair and the quoted bar pair is spare located the correct bar pair and looked on css and line is going through stcb have contacted the fttc helpdesk to see if i could obtain new fibre ports in the correct cab however they said this was not possible have contacted routing solutions with the correct routing which is as follows mdf stcb e side d side eq i believe is the same ,routing provided is incorrect,copper pending routing issue
ends customer survey available i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information fibre is routed to stcb and line goes through stcb need to provide fibre to stcb routing updated with routing solutions ec now waiting for weeks and opening business this weekend have fixed fault on line andpq test now passing test results dn result ltok all sockets unplugged date today jin m eng pin essxn eng uin xxxxxxxxx,routing provided is incorrect,copper pending routing issue
 tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 all jumped as per task circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 notes end user not at home to prove pair proved to d back to proved to stcb routing provided is incorrect as quoted is on a working line ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information eu eside goes to a different cab cannot push dside to stcb without access to eu premises ,routing provided is incorrect,copper pending routing issue
circuit test results after tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ce start faulting at end customer dp dis in network end up speed x down sp ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync last in sync on end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information the fibre ports quoted do not exist in stcb only goes to and no spare ports available do not exist lumms case ref af ie spoke to dcoe uin xxxxxxxxx i am told this should be done by october nd ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information routing is incorrect should be stcb e side and d side spoke to routing solutions ,routing provided is incorrect,copper pending routing issue
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end ,stcb jumpering or tie pair problem found in the stcb,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information incorrect routing can t get cpi tone to the stcb and routing solution could not help me line has been ceased test results dn llls result test unsuccessful don t contact lts help desk inventory issue if mpf sotap please re test via fasttest select your job or enter the mpf sotap id and jin in the web tester if the second test fails or not mpf sotap then record failure in your job before closing task date today jin k eng pin cltxr eng uin xxxxxxxxx,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information line is fed from stcb not stcb tried to talk to dcoe but could not understand a single word the man in the offshore call centre was saying ,routing provided is incorrect,copper pending routing issue
ends i cannot complete this task because the routing provided is incorrect i have attempted to resolve on the day with the dcoe but was unable now passing it to planning please see additional information no cable going to ug feed needs to go back for planning ,routing provided is incorrect,copper pending routing issue
 then sync for min and jumped copper e side to fiber d side and ran middle test tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end then ran last test tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ca start faulting at end customer or dp rectified loop end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok all sockets unplugged end dispatch comments shutting in please move this to trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes synced up fibre port ran fibre d to copper e fibre e not ran to copper d due to coppper part fail tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 all jumpering complete as per task tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results before na circuit test results after na up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 name xxxxxxxxxxxx ein xxxxxxxxxxxx current a none issued a none dn confirmed on eside dial tone present jumpered to copper eside dside fibre ports eside dside stcb checked for defects and stcb floor cleaned this is part of a copper provision ncf raised before results tfgh mfl ce start faulting at stcb dis leg in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end second test tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end after results o tfgh ,gea service test completed and no fault found,fibre completed copper pending
ends recovered old fttc jumpers and reconnected copper e to d jumpered through allocated fibre ports dialtone ok sync ok min close out test ok tfgh test ok circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt not completed and no adsl modem detected t mfl ok test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson mr leigh frobisher doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ce start faulting at end customer dp dis in network end dispatch comments from kg struggling trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 jummpered through as per task tfgh mfl ce start faulting at stcb dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync the session details for this port are in the default status with no record of sync end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at stcb dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync last in sync on end circuit test results before tfgh mfl ce start fa ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed and no fault found out of sync last in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ca fault found possibly affecting gea services please check line test results out of sync last in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 xxxxxxxxxxxxx ein xxxxxxxxxxxx dn confirmed on eside dial tone present jumpered to copper eside dside fibre ports eside dside stcb checked for defects and stcb floor cleaned a exists for duct seals before test second test tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end after results circuit test results before dis circuit test results after dis up speed mbit down speed mbit ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ln dsl port has not successfully synchronised today you are expected to bring the port into sync on the day of the test out of sync last in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok ltok cidt not completed and ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ce start faulting at end customer dp dis in network end tfgh mfl ln dsl port has not successfully synchronised today you are expected to bring the port into sync on the day of the test out of sync last in sync on end o tfgh mfl ce start faulting at end customer dp dis in network end o tfgh mfl ca fault found possibly affecting gea services please check line test results down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 all stcb jumper comp dial tone and sync confirmed at stcb tagged at stcb as copper side not comp due to d pole tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl n a no copper test result expected for this test request end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl n a no copper test result expected for this test request end circuit test results after tfgh mfl ok ltok cidt not completed and no adsl modem detected t end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 synced for mins tests ok e side circuit test results before n ogecr mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after n ogecr mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end up speed n ogecr mfl ok gea service test completed and no fault found down down speed n ogecr mfl ok gea service test completed and no fault found down ,gea service test completed and no fault found,fibre completed copper pending
 all work completed and tagged tfgh mfl ok ltok cidt not completed and no adsl modem detected t end circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ce start faulting at end customer dp dis in network end up speed down speed ,gea service test completed and no fault found,fibre completed copper pending
 all routing as per quote part off a cancelled by customer copper job circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl pc stcb jumpering or tie pair problem found in the stcb check jumpering and ensure all test equipment is removed before re testing or taking remedial action out of sync the session details for this port are in the default status with no record of sync end up speed tfgh mfl ok gea service test completed and no fault found down down speed tfgh mfl ok gea service test completed and no fault found down ,gea service test completed and no fault found,fibre completed copper pending
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes brian beck all work complete at stcb jumper from eside dside tagged at stcb as copper task we was no access line test ok tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
 copper jumpered to fibre in stcb only as copper provide has not been completed as customer said he rearranged install for following week tfgh mfl ok ltok all sockets unplugged end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end john grady circuit test results before tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end circuit test results after tfgh mfl ok ltok all socket ,gea service test completed and no fault found,fibre completed copper pending
 tfgh mfl ce start faulting at stcb dis in network end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end tfgh mfl ok ltok cidt not completed and no adsl modem detected t end tfgh mfl ok gea service test completed and no fault found down mbit s up mbit s in sync on end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed and no fault found,fibre completed copper pending
