copper pending line plant access issue,copper pending routing issue,dslam capacity issue,fibre completed copper pending,Notes,Keywords/Phrases,Sentences
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information routing incorrect stcb e side side spoke routing solutions,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information routing incorrect stcb e side side spoke routing solutions routing provided incorrect
0,0,0,1,tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ln dsl port successfully synchronised today expected bring port sync day test sync last sync end tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok ltok cidt completed,gea service test completed fault found,tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ln dsl port successfully synchronised today expected bring port sync day test sync last sync end tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok ltok cidt completed gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information met ken spooner onsite building finished yet works started confirmed duct front building dropwire connected internal comms cable property fed cp dp dp per routing hoist required dp due looks like porch front building hoist maybe required building ready till november furthered instal si task due length delay instal furthered vbh patch lead aware,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information met ken spooner onsite building finished yet works started confirmed duct front building dropwire connected internal comms cable property fed cp dp dp per routing hoist required dp due looks like porch front building hoist maybe required building ready till november furthered instal si task due length delay instal furthered vbh patch lead aware unable access companyname line plant located within end customer premises
0,0,0,1,ends recovered old fttc jumpers reconnected copper e jumpered allocated fibre ports dialtone ok sync ok min close test ok tfgh test ok circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,gea service test completed fault found,ends recovered old fttc jumpers reconnected copper e jumpered allocated fibre ports dialtone ok sync ok min close test ok tfgh test ok circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit gea service test completed fault found
0,0,1,0,notes sync fibre port contacted dcoe lift shift spare ports available af ie,spare ports available,notes sync fibre port contacted dcoe lift shift spare ports available af ie spare ports available
0,1,0,0,jumped per task circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync,stcb jumpering tie pair problem found stcb,jumped per task circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync stcb jumpering tie pair problem found stcb
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information customer new build house lines installed advised patch lead send planning team builder built house contacted companyname installing lines line sight eq get drop wire quoted eq metres road nearest eq pole need traffic management customer aware expecting call planning team,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information customer new build house lines installed advised patch lead send planning team builder built house contacted companyname installing lines line sight eq get drop wire quoted eq metres road nearest eq pole need traffic management customer aware expecting call planning team unable access companyname line plant located within companyname network
0,0,1,0,notes incompletereason faulty fibre ports spare ports available given code dcoe afie upstreamspeed downstreamspeed tested nottestedreason failed install demoperson doorcolor questions closurenotes faulty fibre port spare fibre ports available dispatch comments afie art assistance trc questions eng mobile xxxxxxxxxxx,spare ports available,notes incompletereason faulty fibre ports spare ports available given code dcoe afie upstreamspeed downstreamspeed tested nottestedreason failed install demoperson doorcolor questions closurenotes faulty fibre port spare fibre ports available dispatch comments afie art assistance trc questions eng mobile xxxxxxxxxxx spare ports available
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed mohona passing dcoe resolved please see additional information spoken dcoe name mohona cab multiple slam issues lam raised expected date repair lam number afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed mohona passing dcoe resolved please see additional information spoken dcoe name mohona cab multiple slam issues lam raised expected date repair lam number afie allocated ports unavailable faulty
0,0,1,0,notes incompletereason quoted fibre port unable sync non ports new card able sync llums incident already raised diary date th november llums ref af ie spare ports available upstreamspeed downstreamspeed tested nottestedreason failed install demoperson doorcolor questions closurenotes dispatch comments atie las trc questions eng mobile xxxxxxxxxxx,quoted fibre port unable sync spare ports available,notes incompletereason quoted fibre port unable sync non ports new card able sync llums incident already raised diary date th november llums ref af ie spare ports available upstreamspeed downstreamspeed tested nottestedreason failed install demoperson doorcolor questions closurenotes dispatch comments atie las trc questions eng mobile xxxxxxxxxxx quoted fibre port unable sync spare ports available
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed passing dcoe resolved please see additional information new ports available use yet new stcb shell meters road existing stcb waiting existing stcb changed new shell done way using new ports llums ref afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed passing dcoe resolved please see additional information new ports available use yet new stcb shell meters road existing stcb waiting existing stcb changed new shell done way using new ports llums ref afie allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information quoted fibre ports wrong stcb routing updated correct cabinet routing records confirmed fibre ports dcoe cease reprovide required stcb message left eu contact numbers,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information quoted fibre ports wrong stcb routing updated correct cabinet routing records confirmed fibre ports dcoe cease reprovide required stcb message left eu contact numbers routing provided incorrect
0,1,0,0,sync dial tone proven slam jumpered per quoted cabinet free defects bottom cab cleaned stephen uveges tfgh mfl ln start faulting stcb battery contact end tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync,stcb jumpering tie pair problem found stcb,sync dial tone proven slam jumpered per quoted cabinet free defects bottom cab cleaned stephen uveges tfgh mfl ln start faulting stcb battery contact end tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync stcb jumpering tie pair problem found stcb
0,0,0,1,copper jumpered fibre stcb copper provide completed customer said rearranged install following week tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end john grady circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok socket,gea service test completed fault found,copper jumpered fibre stcb copper provide completed customer said rearranged install following week tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end john grady circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok socket gea service test completed fault found
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information order needs delayed planned solution required resolve issue network property linked provision furthered planning cr submitted customer aware,unable access openreach line plant located within openreach network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information order needs delayed planned solution required resolve issue network property linked provision furthered planning cr submitted customer aware unable access openreach line plant located within openreach network
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information need access eu quoted side stcb taken cabinet work started,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information need access eu quoted side stcb taken cabinet work started unable access companyname line plant located within companyname network
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed naand passing dcoe resolved please see additional information spare fibre ports none syncing ref af ie uin staff dcoe spoke xxxxxxxxx,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed naand passing dcoe resolved please see additional information spare fibre ports none syncing ref af ie uin staff dcoe spoke xxxxxxxxx allocated ports unavailable faulty
0,0,0,1,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes l tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes l tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information ports exist cab awaiting lums case completion ref case afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information ports exist cab awaiting lums case completion ref case afie allocated ports unavailable faulty
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed x passing dcoe resolved please see additional information fttc complete tfgh incorrect quoted fibre e phoned dcoe try lift shift unable provide one see previous job notes llums case reference open due spares faulty ports,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed x passing dcoe resolved please see additional information fttc complete tfgh incorrect quoted fibre e phoned dcoe try lift shift unable provide one see previous job notes llums case reference open due spares faulty ports allocated ports unavailable faulty
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknown passing dcoe resolved please see additional information quoted port exist stcb llums case already raised spare ports work yet complete llums number afti,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknown passing dcoe resolved please see additional information quoted port exist stcb llums case already raised spare ports work yet complete llums number afti allocated ports unavailable faulty
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information advised task raised error cp needs appointment,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information advised task raised error cp needs appointment unable access companyname line plant located within end customer premises
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information lums case afie active raised service affected damaged strips stcb,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information lums case afie active raised service affected damaged strips stcb allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information visited site line testing one leg dis stcb checked line cab line good e side battery contact side located fibre ports speeds kept dropping sync got lift shift done dcoe run min vdsl close test passed still battery contact side job incorrectly routed line gos cabinet stcb thenfibre needs moved cabinet e side divert required dial tone still cabinet job needs routed correctly cab unable resolve day speaking routing soulutions,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information visited site line testing one leg dis stcb checked line cab line good e side battery contact side located fibre ports speeds kept dropping sync got lift shift done dcoe run min vdsl close test passed still battery contact side job incorrectly routed line gos cabinet stcb thenfibre needs moved cabinet e side divert required dial tone still cabinet job needs routed correctly cab unable resolve day speaking routing soulutions routing provided incorrect
0,1,0,0,circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end tfgh mfl ce start faulting end customer dp dis network end speed x sp,stcb jumpering tie pair problem found stcb,circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end tfgh mfl ce start faulting end customer dp dis network end speed x sp stcb jumpering tie pair problem found stcb
0,1,0,0,jummpered per task tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end,stcb jumpering tie pair problem found stcb,jummpered per task tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end stcb jumpering tie pair problem found stcb
0,0,0,1,routing per quote part cancelled customer copper job circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found,gea service test completed fault found,routing per quote part cancelled customer copper job circuit test results tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync session details port default status record sync end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found gea service test completed fault found
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fast test said ltok sockets unplugged went cab find routing cpi tone job notes indicated first time happened called manager discussed believe eo line going cab needs investigating routing cab advised send back incorrect routing pair diverted cab,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fast test said ltok sockets unplugged went cab find routing cpi tone job notes indicated first time happened called manager discussed believe eo line going cab needs investigating routing cab advised send back incorrect routing pair diverted cab routing provided incorrect
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed dcoeand passing dcoe resolved please see additional information rang ahead confirmed job si task linked installation task installation completed fibre ports faulty noisy unable fix spare ports lift shift fibre jumpering completed dt ports co op dcoe lift shift job furthered llums case raised ref af ti,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed dcoeand passing dcoe resolved please see additional information rang ahead confirmed job si task linked installation task installation completed fibre ports faulty noisy unable fix spare ports lift shift fibre jumpering completed dt ports co op dcoe lift shift job furthered llums case raised ref af ti allocated ports unavailable faulty
0,0,0,1,end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found,gea service test completed fault found,end speed tfgh mfl ok gea service test completed fault found speed tfgh mfl ok gea service test completed fault found gea service test completed fault found
0,1,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes n tfgh mfl ok ltok sockets unplugged end n tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync,stcb jumpering tie pair problem found stcb,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes n tfgh mfl ok ltok sockets unplugged end n tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync stcb jumpering tie pair problem found stcb
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information cct appears eo feed cct jumpered correctly mdf appear stcb fibre port syncs ok,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information cct appears eo feed cct jumpered correctly mdf appear stcb fibre port syncs ok routing provided incorrect
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information incorrect routing job cpi tone bleeding stcb visited exchange find bar pair quoted bar pair spare located correct bar pair looked css line going stcb contacted fttc helpdesk see could obtain new fibre ports correct cab however said possible contacted routing solutions correct routing follows mdf stcb e side side eq believe,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information incorrect routing job cpi tone bleeding stcb visited exchange find bar pair quoted bar pair spare located correct bar pair looked css line going stcb contacted fttc helpdesk see could obtain new fibre ports correct cab however said possible contacted routing solutions correct routing follows mdf stcb e side side eq believe routing provided incorrect
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information wrong address task flat henry bird way different stcb quoted address correct stcb stcb routing updated routing record need lift shift correct stcb tried resolve day dcoe would said lift shift new cab repair task spoke cod told would send back sales query,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information wrong address task flat henry bird way different stcb quoted address correct stcb stcb routing updated routing record need lift shift correct stcb tried resolve day dcoe would said lift shift new cab repair task spoke cod told would send back sales query routing provided incorrect
0,0,0,1,tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results ndq llem mfl ok ltok end circuit test results ndq llem mfl ok ltok end speed speed,gea service test completed fault found,tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results ndq llem mfl ok ltok end circuit test results ndq llem mfl ok ltok end speed speed gea service test completed fault found
0,0,1,0,notes gt si spare ports available unable carry lift shift unable complete task af ie,spare ports available,notes gt si spare ports available unable carry lift shift unable complete task af ie spare ports available
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information customer rang arrival said explained cp cannot attend due family emergency requested job rescheduled,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information customer rang arrival said explained cp cannot attend due family emergency requested job rescheduled unable access companyname line plant located within companyname network
0,0,1,0,ends cannot complete task sync stcb side underground skilled engineer required see previous notes engineer test towards end customer inconclusive please see additional information please see previous notes engineer spare ports available rang dcoe confirm advised spare ports raise lums case ref afie spoke shruti,spare ports available,ends cannot complete task sync stcb side underground skilled engineer required see previous notes engineer test towards end customer inconclusive please see additional information please see previous notes engineer spare ports available rang dcoe confirm advised spare ports raise lums case ref afie spoke shruti spare ports available
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information routing circuit z stcb e dp pr spoke routing records confirm current routing circuit ports required stcb please,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information routing circuit z stcb e dp pr spoke routing records confirm current routing circuit ports required stcb please routing provided incorrect
0,1,0,0,tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,stcb jumpering tie pair problem found stcb,tfgh mfl pc stcb jumpering tie pair problem found stcb check jumpering ensure test equipment removed testing taking remedial action sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx stcb jumpering tie pair problem found stcb
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed dcoe passing dcoe resolved please see additional information spoke dcoe tried find correct port port location found faulty fibre ports cab ref af ie eco ref,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed dcoe passing dcoe resolved please see additional information spoke dcoe tried find correct port port location found faulty fibre ports cab ref af ie eco ref allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxx told done october nd,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxx told done october nd routing provided incorrect
0,0,1,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed naand passing dcoe resolved please see additional information fibre ports added cab yet lums case outstanding patch lead aware issue job,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed naand passing dcoe resolved please see additional information fibre ports added cab yet lums case outstanding patch lead aware issue job allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information cannot complete task job built wrong stcb original routing stcb stcb routing updated via dcoe wc sales,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information cannot complete task job built wrong stcb original routing stcb stcb routing updated via dcoe wc sales routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user phoned say available access today phoned last saturday appoint different day work commenced line provided,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user phoned say available access today phoned last saturday appoint different day work commenced line provided unable access companyname line plant located within companyname network
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed xxxxxxxxxxxx passing dcoe resolved please see additional information unable complete task due unable locate port speaking dcoe range terminated dslam lumbs case af ti raised,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed xxxxxxxxxxxx passing dcoe resolved please see additional information unable complete task due unable locate port speaking dcoe range terminated dslam lumbs case af ti raised allocated ports unavailable faulty
0,1,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information stcb routing incorrect go stcb unable find correct stcb address roughly miles stcb,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information stcb routing incorrect go stcb unable find correct stcb address roughly miles stcb routing provided incorrect
1,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information unable gain access eu premise companyname plant job passed back cp appointment spoken customer phone unable get site installation required customer working line start job install made customer aware appointment required get access house circuit id llmr job f line test type llu provision request time result summary start faulting end customer dp dis network mfl ce test reference tfgh result summary known tfgh mfl known tfgh uprate known tfgh downrate known,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information unable gain access eu premise companyname plant job passed back cp appointment spoken customer phone unable get site installation required customer working line start job install made customer aware appointment required get access house circuit id llmr job f line test type llu provision request time result summary start faulting end customer dp dis network mfl ce test reference tfgh result summary known tfgh mfl known tfgh uprate known tfgh downrate known unable access companyname line plant located within end customer premises
0,1,0,0,notes gt si fibre routing present cab af ie,fibre routing present cab,notes gt si fibre routing present cab af ie fibre routing present cab
0,0,0,1,tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,1,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information dcoe stated card faulty lums ref already raised af ie spares lift shift patch lead advised,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information dcoe stated card faulty lums ref already raised af ie spares lift shift patch lead advised allocated ports unavailable faulty
