copper pending field work needed,copper pending line plant access issue,copper pending routing issue,dslam capacity issue,fault in network,fibre completed copper pending,order cancelled,order completed in field,reappointment needed eu not present,reappointment needed out of time,sales query,Notes,Keywords/Phrases,Sentences
1,0,0,0,0,0,0,0,0,0,0,ends fibre jumpering complete sync speeds stcb required provision sent back track locate eu lead test results dn tfgh result ltok customer equipment detected date today jin k eng pin emjxg eng uin xxxxxxxxx,result ltok customer equipment detected,ends fibre jumpering complete sync speeds stcb required provision sent back track locate eu lead test results dn tfgh result ltok customer equipment detected date today jin k eng pin emjxg eng uin xxxxxxxxx result ltok customer equipment detected
0,0,0,0,0,0,0,0,0,1,0,ends cannot complete task run time within scheduled hours end customer use service work outstanding please see additional information arrived stcb dial tone fibre ports cpi tone confirmed shorting dial tone possibly active sim provide line good stcb attached nte fibre ports ltok unable pick tone eq time absence pick team garage line good stcb nte getting ltok unbalanced cable pair fault side,run time within scheduled hours,ends cannot complete task run time within scheduled hours end customer use service work outstanding please see additional information arrived stcb dial tone fibre ports cpi tone confirmed shorting dial tone possibly active sim provide line good stcb attached nte fibre ports ltok unable pick tone eq time absence pick team garage line good stcb nte getting ltok unbalanced cable pair fault side run time within scheduled hours
0,0,0,0,0,1,0,0,0,0,0,ends fttc provide tasks done required job notes broadband ppp tests done passed circuit id tfgh job f k line test type fttc provision request time result summary ltok sockets unplugged mfl ok test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known,gea service test completed fault found,ends fttc provide tasks done required job notes broadband ppp tests done passed circuit id tfgh job f k line test type fttc provision request time result summary ltok sockets unplugged mfl ok test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known gea service test completed fault found
1,0,0,0,0,0,0,0,0,0,0,ends install sent back planning unable get height clearance neighbouring houses roofs,install sent back planning unable get height clearance,ends install sent back planning unable get height clearance neighbouring houses roofs install sent back planning unable get height clearance
0,0,0,0,0,1,0,0,0,0,0,sync dial tone proven slam jumpered per quoted cabinet free defects bottom cab cleaned stephen uveges tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end tfgh mfl ok potential rf issue detected gea service mbit mbit sync rf ingress yes end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found sync last,gea service test completed fault found,sync dial tone proven slam jumpered per quoted cabinet free defects bottom cab cleaned stephen uveges tfgh mfl ce start faulting end customer dp dis network end tfgh mfl ca fault found possibly affecting gea services please check line test results sync session details port default status record sync end tfgh mfl ok potential rf issue detected gea service mbit mbit sync rf ingress yes end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found sync last gea service test completed fault found
0,0,0,1,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed bianca passing dcoe resolved please see additional information ports exist llums case raised waiting civics om aware b mckinlay,allocated ports unavailable faulty,ends photographic evidence available cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed bianca passing dcoe resolved please see additional information ports exist llums case raised waiting civics om aware b mckinlay allocated ports unavailable faulty
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information need access eu quoted side stcb taken cabinet work started,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information need access eu quoted side stcb taken cabinet work started unable access companyname line plant located within companyname network
0,0,0,1,0,0,0,0,0,0,0,notes sync allocated ports spare ports available lum incident af ie,spare ports available,notes sync allocated ports spare ports available lum incident af ie spare ports available
0,0,0,1,0,0,0,0,0,0,0,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information lums case afie active raised service affected damaged strips stcb,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty could repair day discussed passing dcoe resolved please see additional information lums case afie active raised service affected damaged strips stcb allocated ports unavailable faulty
0,0,0,0,0,1,0,0,0,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok potential bridge tap issue customer wiring detected gea service please disconnect eu wiring test mbit mbit sync bridge tap yes end tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok sockets unplugged end tfgh mfl ok potential bridge tap issue customer wiring detected gea service please disconnect eu wiring test mbit mbit sync bridge tap yes end tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,0,0,0,0,1,0,0,0,0,ends cannot complete task end customer advised order cancelled please see additional information visited ec premises advised order cancelled,end customer advised order cancelled,ends cannot complete task end customer advised order cancelled please see additional information visited ec premises advised order cancelled end customer advised order cancelled
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information need prove back end customer ok stcb customer home spoke customer phone able get back property told ring cp rebook another appointment home,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises jumper work completed cabinet please see additional information need prove back end customer ok stcb customer home spoke customer phone able get back property told ring cp rebook another appointment home unable access companyname line plant located within end customer premises
0,0,0,1,0,0,0,0,0,0,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknownand passing dcoe resolved please see additional information per previous engineer notes llums case completed confirmed dcoe informed manager dcoe stated date llums case th month st llums ref afie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknownand passing dcoe resolved please see additional information per previous engineer notes llums case completed confirmed dcoe informed manager dcoe stated date llums case th month st llums ref afie allocated ports unavailable faulty
0,0,0,0,0,1,0,0,0,0,0,tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results ndq llem mfl ok ltok end circuit test results ndq llem mfl ok ltok end speed speed,gea service test completed fault found,tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results ndq llem mfl ok ltok end circuit test results ndq llem mfl ok ltok end speed speed gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information customer present linked install task access,unable access companyname line plant located within end customer premises,ends photographic evidence available cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information customer present linked install task access unable access companyname line plant located within end customer premises
0,0,0,0,0,1,0,0,0,0,0,ends fttc jumpering completed vdsl closeout test passed stcb dial tone confirmed fibre e side tfgh test sync linked provision task completed yet unable access dp circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known,gea service test completed fault found,ends fttc jumpering completed vdsl closeout test passed stcb dial tone confirmed fibre e side tfgh test sync linked provision task completed yet unable access dp circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync last sync tfgh mfl ok tfgh uprate known tfgh downrate known gea service test completed fault found
0,0,0,1,0,0,0,0,0,0,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknown passing dcoe resolved please see additional information site quoted fibre port non existent cab asked spares fttc helpdesk spares available llums case raised th september reference number afie let eu know,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed unknown passing dcoe resolved please see additional information site quoted fibre port non existent cab asked spares fttc helpdesk spares available llums case raised th september reference number afie let eu know allocated ports unavailable faulty
0,0,1,0,0,0,0,0,0,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information another engineer install task confirmed routi wrong plus cannot complete provide due pole,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information another engineer install task confirmed routi wrong plus cannot complete provide due pole routing provided incorrect
0,1,0,0,0,0,0,0,0,0,0,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information part install job job sent back access eu contact details unrecognised please see notes install,unable access companyname line plant located within end customer premises,ends cannot complete task unable access companyname line plant located within end customer premises work commenced please see additional information part install job job sent back access eu contact details unrecognised please see notes install unable access companyname line plant located within end customer premises
0,0,0,0,0,1,0,0,0,0,0,copper part sim provide returned due line plant jumpered dslam tested tagged tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end speed speed,gea service test completed fault found,copper part sim provide returned due line plant jumpered dslam tested tagged tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end circuit test results tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found mbit mbit sync end speed speed gea service test completed fault found
0,0,1,0,0,0,0,0,0,0,0,notes gt si fibre routing present cab af ie,fibre routing present cab,notes gt si fibre routing present cab af ie fibre routing present cab
0,0,0,0,0,1,0,0,0,0,0,ends linked line provide ncf raised test dis ports testing correct speeds stcb circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,gea service test completed fault found,ends linked line provide ncf raised test dis ports testing correct speeds stcb circuit id tfgh job f n line test type fttc provision request time result summary copper test result expected test request mfl test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit gea service test completed fault found
0,0,0,1,0,0,0,0,0,0,0,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information still spare fibre ports lums case af ie,allocated ports unavailable faulty,ends cannot complete task linked order delayed allocated ports unavailable faulty skilled repair discussed na passing dcoe resolved please see additional information still spare fibre ports lums case af ie allocated ports unavailable faulty
0,0,0,0,0,1,0,0,0,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ex pstn fault exchange mdf sync session details port default status record sync end tfgh mfl ok potential hr joint detected gea service mbit mbit sync end tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ex pstn fault exchange mdf sync session details port default status record sync end tfgh mfl ok potential hr joint detected gea service mbit mbit sync end tfgh mfl ok gea service test completed fault found sync last sync end dispatch comments trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,ends called ahead spoke customer izzeldin stcb dt jumpered fibre per routing min test ok tfgh ft ok u bps bps,ft ok,ends called ahead spoke customer izzeldin stcb dt jumpered fibre per routing min test ok tfgh ft ok u bps bps ft ok
0,0,0,0,0,1,0,0,0,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes see jeopardy results dispatch comments jamie said closing asap escalated tms aom put hub bvx c aakbl tfgh ftc p ok gea service test completed fault found mbit mbit sync bvx c aakbl tfgh ftc p ok ltok cidt completed adsl modem detected bvx c aakbl tfgh ftc p ok gea service test completed fault found mbit mbit sync bvx c aakbl tfgh ftc p ok ltok sockets unplugged cidt completed bvx c aakbl tfgh ftc p ok gea service test completed fault found sync session details port default status record sync bvx c aakbl tfgh ftc p ok ltok sockets unplugged cidt completed bvx c aakbl tfgh ftc p ok gea service test completed fault found sync session details port default status record sync bvx c aakbl tfgh ftc p ok ltok cidt completed adsl modem detected bvx c aakbl tfgh ftc p ca fault found possibly affecting gea services please check line test results sync session details port default status record sync bvx c aakbl tfgh ftc p ce start faulting stcb dis network trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes see jeopardy results dispatch comments jamie said closing asap escalated tms aom put hub bvx c aakbl tfgh ftc p ok gea service test completed fault found mbit mbit sync bvx c aakbl tfgh ftc p ok ltok cidt completed adsl modem detected bvx c aakbl tfgh ftc p ok gea service test completed fault found mbit mbit sync bvx c aakbl tfgh ftc p ok ltok sockets unplugged cidt completed bvx c aakbl tfgh ftc p ok gea service test completed fault found sync session details port default status record sync bvx c aakbl tfgh ftc p ok ltok sockets unplugged cidt completed bvx c aakbl tfgh ftc p ok gea service test completed fault found sync session details port default status record sync bvx c aakbl tfgh ftc p ok ltok cidt completed adsl modem detected bvx c aakbl tfgh ftc p ca fault found possibly affecting gea services please check line test results sync session details port default status record sync bvx c aakbl tfgh ftc p ce start faulting stcb dis network trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user phoned say available access today phoned last saturday appoint different day work commenced line provided,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information end user phoned say available access today phoned last saturday appoint different day work commenced line provided unable access companyname line plant located within companyname network
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network external work completed please see additional information dp pole please call info,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network external work completed please see additional information dp pole please call info unable access companyname line plant located within companyname network
0,0,1,0,0,0,0,0,0,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,routing provided incorrect gea service test completed fault found,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information circuit id tfgh job f n line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit routing provided incorrect gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,stcb jumper test dial tone sync present tfgh mfl ok ltok sockets unplugged cidt completed end tfgh mfl ok ltok completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok ltok sockets unplugged cidt completed end tfgh mfl ok ltok completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end og,gea service test completed fault found,stcb jumper test dial tone sync present tfgh mfl ok ltok sockets unplugged cidt completed end tfgh mfl ok ltok completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok cidt completed adsl modem detected end circuit test results tfgh mfl ok ltok sockets unplugged cidt completed end tfgh mfl ok ltok completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end og gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,ends fit complete access provide tagged side fiver stcb side fit needed complete circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit,gea service test completed fault found,ends fit complete access provide tagged side fiver stcb side fit needed complete circuit id tfgh job f k line test type fttc provision request time result summary ltok cidt completed adsl modem detected mfl ok test reference tfgh result summary gea service test completed fault found sync tfgh mfl ok tfgh uprate mbit tfgh downrate mbit gea service test completed fault found
0,0,0,0,0,0,0,0,0,0,1,ends cannot complete task end customer representative unaware order please see additional information spoke ahmed unaware appointment phone line broadband ordered anything said one would house travelled premise spoke guy house said ordered anything happy virgin media broadband,end customer representative unaware order,ends cannot complete task end customer representative unaware order please see additional information spoke ahmed unaware appointment phone line broadband ordered anything said one would house travelled premise spoke guy house said ordered anything happy virgin media broadband end customer representative unaware order
0,0,0,0,0,1,0,0,0,0,0,si task tfgh mfl n copper test result expected test request end tfgh mfl dt test system busy please wait minutes retesting second test fails check lts fault tracker nemo nat bt com reporting text starting message linetest including circuit number job number test system busy end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl n copper test result expected test request end circuit test results tfgh mfl n copper test result expected test request end circuit test results tfgh mfl n copper test result expected test request end speed,gea service test completed fault found,si task tfgh mfl n copper test result expected test request end tfgh mfl dt test system busy please wait minutes retesting second test fails check lts fault tracker nemo nat bt com reporting text starting message linetest including circuit number job number test system busy end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl n copper test result expected test request end circuit test results tfgh mfl n copper test result expected test request end circuit test results tfgh mfl n copper test result expected test request end speed gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,jummpered per task tfgh mfl ln start faulting stcb earth contact end tfgh mfl pc dsl port splitter tie pair problem found likely near dslam please follow faulty port process appropriate skilling sync session details port default status record sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found sync last sync end tfgh mfl ok ltok sockets unplugged end circuit test results tfgh mfl ok gea service tes,gea service test completed fault found,jummpered per task tfgh mfl ln start faulting stcb earth contact end tfgh mfl pc dsl port splitter tie pair problem found likely near dslam please follow faulty port process appropriate skilling sync session details port default status record sync end tfgh mfl ok gea service test completed fault found mbit mbit sync end tfgh mfl ok ltok sockets unplugged end tfgh mfl ok gea service test completed fault found sync last sync end tfgh mfl ok ltok sockets unplugged end circuit test results tfgh mfl ok gea service tes gea service test completed fault found
0,0,0,0,0,0,0,0,1,0,0,ends photographic evidence available cannot complete task end customer representative present premises work commenced please see additional information answer contact numbers answer buzzer unable complete installation,cannot complete task end customer representative present premises,ends photographic evidence available cannot complete task end customer representative present premises work commenced please see additional information answer contact numbers answer buzzer unable complete installation cannot complete task end customer representative present premises
0,0,1,0,0,0,0,0,0,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxxx told done october nd,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information fibre ports quoted exist stcb goes spare ports available exist lumms case ref af ie spoke dcoe uin xxxxxxxxx told done october nd routing provided incorrect
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information new build flats eq exists yet linked copper provide furthered planning,unable access openreach line plant located within openreach network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network work commenced please see additional information new build flats eq exists yet linked copper provide furthered planning unable access openreach line plant located within openreach network
0,0,0,0,0,1,0,0,0,0,0,xxxxxxxxxxxxx ein xxxxxxxxxxxx dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned exists duct seals test second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results circuit test results dis circuit test results dis speed mbit speed mbit,gea service test completed fault found,xxxxxxxxxxxxx ein xxxxxxxxxxxx dn confirmed eside dial tone present jumpered copper eside dside fibre ports eside dside stcb checked defects stcb floor cleaned exists duct seals test second test tfgh mfl ok ltok cidt completed adsl modem detected end tfgh mfl ok gea service test completed fault found mbit mbit sync end results circuit test results dis circuit test results dis speed mbit speed mbit gea service test completed fault found
0,0,0,0,0,1,0,0,0,0,0,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments via tm r k due de route via tm r k trc questions eng mobile xxxxxxxxxxx,gea service test completed fault found,upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok gea service test completed fault found mbit mbit sync end dispatch comments via tm r k due de route via tm r k trc questions eng mobile xxxxxxxxxxx gea service test completed fault found
0,0,1,0,0,0,0,0,0,0,0,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information visited site line testing one leg dis stcb checked line cab line good e side battery contact side located fibre ports speeds kept dropping sync got lift shift done dcoe run min vdsl close test passed still battery contact side job incorrectly routed line gos cabinet stcb thenfibre needs moved cabinet e side divert required dial tone still cabinet job needs routed correctly cab unable resolve day speaking routing soulutions,routing provided incorrect,ends cannot complete task routing provided incorrect attempted resolve day dcoe unable passing planning please see additional information visited site line testing one leg dis stcb checked line cab line good e side battery contact side located fibre ports speeds kept dropping sync got lift shift done dcoe run min vdsl close test passed still battery contact side job incorrectly routed line gos cabinet stcb thenfibre needs moved cabinet e side divert required dial tone still cabinet job needs routed correctly cab unable resolve day speaking routing soulutions routing provided incorrect
0,1,0,0,0,0,0,0,0,0,0,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network jumper work completed cabinet please see additional information eq another building unable tetra sync stcb,unable access companyname line plant located within companyname network,ends photographic evidence available cannot complete task unable access companyname line plant located within companyname network jumper work completed cabinet please see additional information eq another building unable tetra sync stcb unable access companyname line plant located within companyname network
0,0,0,0,0,1,0,0,0,0,0,tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end speed speed,gea service test completed fault found,tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end circuit test results tfgh mfl ok gea service test completed fault found sync last sync end speed speed gea service test completed fault found
